Wikipedia Article,Wikipedia Site,Research Title,DOI,OA Status,OA Type
"Roger Ascham",en.wikipedia.org,"Beyond the Numbers: Interpreting WHO's Global Tuberculosis Report 2016 to Inform TB Policy and Practice in the East African Community",https://doi.org/10.24248/eahrj-d-16-00364,True, green
"Falha geológica",pt.wikipedia.org,"Fault-Controlled Magma Ascent Recorded in the Central Series of the Rum Layered Intrusion, NW Scotland",https://doi.org/10.1093/petrology/egaa093,True, hybrid
"Reindeer",en.wikipedia.org,"Reindeer and the quest for Scottish enlichenment",https://doi.org/10.1177/20416695231218520,True, gold
"Poro",fi.wikipedia.org,"Reindeer and the quest for Scottish enlichenment",https://doi.org/10.1177/20416695231218520,True, gold
"Modified Newtonian dynamics",en.wikipedia.org,"Strong constraints on the gravitational law from Gaia DR3 wide binaries",https://doi.org/10.1093/mnras/stad3393,True, hybrid
"Pierre Kory",en.wikipedia.org,"SARS-CoV-2 infection and COVID-19 vaccination rates in pregnant women in Scotland",https://doi.org/10.1038/s41591-021-01666-2,True, hybrid
"Rum layered intrusion",en.wikipedia.org,"Fault-Controlled Magma Ascent Recorded in the Central Series of the Rum Layered Intrusion, NW Scotland",https://doi.org/10.1093/petrology/egaa093,True, hybrid
"لاته کیهانی",fa.wikipedia.org,"The 2dF Galaxy Redshift Survey: Constraints on Cosmic Star Formation History from the Cosmic Spectrum",https://doi.org/10.1086/339477,True, bronze
"Crystal mush",en.wikipedia.org,"Fault-Controlled Magma Ascent Recorded in the Central Series of the Rum Layered Intrusion, NW Scotland",https://doi.org/10.1093/petrology/egaa093,True, hybrid
"Krem kosmik",id.wikipedia.org,"The 2dF Galaxy Redshift Survey: Constraints on Cosmic Star Formation History from the Cosmic Spectrum",https://doi.org/10.1086/339477,True, bronze
"Fault (geology)",en.wikipedia.org,"Fault-Controlled Magma Ascent Recorded in the Central Series of the Rum Layered Intrusion, NW Scotland",https://doi.org/10.1093/petrology/egaa093,True, hybrid
"Komatiite",en.wikipedia.org,"Fault-Controlled Magma Ascent Recorded in the Central Series of the Rum Layered Intrusion, NW Scotland",https://doi.org/10.1093/petrology/egaa093,True, hybrid
"Rùm",en.wikipedia.org,"Fault-Controlled Magma Ascent Recorded in the Central Series of the Rum Layered Intrusion, NW Scotland",https://doi.org/10.1093/petrology/egaa093,True, hybrid
"Cosmic latte",fr.wikipedia.org,"The 2dF Galaxy Redshift Survey: Constraints on Cosmic Star Formation History from the Cosmic Spectrum",https://doi.org/10.1086/339477,True, bronze
"Kosmisk latte",no.wikipedia.org,"The 2dF Galaxy Redshift Survey: Constraints on Cosmic Star Formation History from the Cosmic Spectrum",https://doi.org/10.1086/339477,True, bronze
"Café com leite cósmico",pt.wikipedia.org,"The 2dF Galaxy Redshift Survey: Constraints on Cosmic Star Formation History from the Cosmic Spectrum",https://doi.org/10.1086/339477,True, bronze
"코스믹 라테",ko.wikipedia.org,"The 2dF Galaxy Redshift Survey: Constraints on Cosmic Star Formation History from the Cosmic Spectrum",https://doi.org/10.1086/339477,True, bronze
"宇宙拿鐵",zh.wikipedia.org,"The 2dF Galaxy Redshift Survey: Constraints on Cosmic Star Formation History from the Cosmic Spectrum",https://doi.org/10.1086/339477,True, bronze
"Universo",es.wikipedia.org,"The 2dF Galaxy Redshift Survey: Constraints on Cosmic Star Formation History from the Cosmic Spectrum",https://doi.org/10.1086/339477,True, bronze
"Café con leche cósmico",es.wikipedia.org,"The 2dF Galaxy Redshift Survey: Constraints on Cosmic Star Formation History from the Cosmic Spectrum",https://doi.org/10.1086/339477,True, bronze
